book_id,book_name,author,publisher,release_dt,book_price,division,book_img
123,홍학의 자리,정해연 지음,엘릭시르,2021-07-26,14000,B001,https://image.aladin.co.kr/product/27587/94/cover200/8954681158_1.jpg
124,내가 생각한 인생이 아니야,류시화 지음,수오서재,2023-12-21,18000,B009,https://image.aladin.co.kr/product/33003/54/cover200/k422937776_1.jpg
125,강인함의 힘,"스티브 매그니스 지음, 이주만 옮김",상상스퀘어,2024-03-27,22000,B005,https://image.aladin.co.kr/product/33613/59/cover200/k722939915_2.jpg
126,쿠이 료코 낙서집 데이드림 아워,"쿠이 료코 지음, 김민재 옮김",㈜소미미디어,2024-06-04,20000,B014,https://image.aladin.co.kr/product/34034/33/cover200/k222931261_1.jpg
127,여름을 한 입 베어 물었더니,이꽃님 지음,문학동네,2023-08-18,12500,B006,https://image.aladin.co.kr/product/32294/5/cover200/8954694578_1.jpg
128,검은 사슴,한강 지음,문학동네,2017-12-20,15500,B001,https://image.aladin.co.kr/product/12606/97/cover200/8954648908_3.jpg
129,어른의 행복은 조용하다,태수 지음,페이지2(page2),2024-11-04,17800,B009,https://image.aladin.co.kr/product/35063/62/cover200/k532934196_2.jpg
130,로봇 드림,사라 바론 지음,놀,2024-03-27,19800,B014,https://image.aladin.co.kr/product/33584/88/cover200/k962939592_1.jpg
131,나는 행복한 푸바오 할부지입니다,"강철원(에버랜드 동물원) 지음, 류정훈(에버랜드 커뮤니케이션 그룹) 사진",시공사,2024-02-25,18000,B009,https://image.aladin.co.kr/product/33477/60/cover200/k412938057_2.jpg
132,해피버쓰데이,백희나 지음,Storybowl(스토리보울),2024-12-01,17000,B012,https://image.aladin.co.kr/product/35323/83/cover200/k002035376_1.jpg
133,JLPT 일본어능력시험 한권으로 끝내기 N3,이치우. 기타지마 치즈코 지음,다락원,2021-10-11,27000,B002,https://image.aladin.co.kr/product/28087/6/cover200/8927712439_3.jpg
134,어떤 어른,김소영 지음,사계절,2024-11-13,18000,B009,https://image.aladin.co.kr/product/35101/21/cover200/k632934600_1.jpg
135,던전밥 13,"쿠이 료코 지음, 김민재 옮김",㈜소미미디어,2024-02-07,7000,B014,https://image.aladin.co.kr/product/33251/30/cover200/k712938566_1.jpg
136,나에게 들려주는 예쁜 말,"김종원 지음, 나래 그림",상상아이(상상아카데미),2024-02-01,16800,B015,https://image.aladin.co.kr/product/33273/48/cover200/k172938774_1.jpg
137,해커스 일본어 첫걸음 : 기초 20일 독학 완성!,해커스JLPT연구소 지음,해커스어학연구소(Hackers),2024-05-07,13900,B002,https://image.aladin.co.kr/product/27470/88/cover200/8965424216_3.jpg
138,주아쌤의 툭 치면 탁 나오는 영어회화 (특별 부록 한정판),주아쌤(이정은) 지음,몽스북,2024-10-11,18800,B002,https://image.aladin.co.kr/product/34797/39/cover200/k492933223_1.jpg
139,우리 아기 오감발달 시끌벅적 정글 사운드북,"샘 태플린 지음, 페데리카 아이오사 그림",어스본코리아,2017-03-08,19800,B012,https://image.aladin.co.kr/product/10514/12/cover200/k812530039_1.jpg
140,원피스 107,오다 에이이치로 지음,대원씨아이(만화),2024-01-15,5500,B014,https://image.aladin.co.kr/product/33100/35/cover200/k872937718_1.jpg
141,트렌드 코리아 2024,김난도 외 지음,미래의창,2023-10-05,19000,B004,https://image.aladin.co.kr/product/32443/92/cover200/8959897175_3.jpg
142,하이큐!! 매거진 2024 MAY,후루다테 하루이치 지음,대원씨아이(만화),2024-05-14,20000,B014,https://image.aladin.co.kr/product/33898/68/cover200/k212930824_1.jpg
143,퓨처 셀프 30만 부 기념 스페셜 에디션,"벤저민 하디 지음, 최은아 옮김",상상스퀘어,2024-09-25,22000,B005,https://image.aladin.co.kr/product/34795/5/cover200/k782933126_2.jpg
144,극락가 2,사노 유토 지음,대원씨아이(만화),2024-02-29,6000,B014,https://image.aladin.co.kr/product/33439/0/cover200/k532938633_1.jpg
145,삶이 흔들릴 때 뇌과학을 읽습니다,"이케가야 유지 지음, 김준기 옮김",힉스,2024-03-27,18000,B010,https://image.aladin.co.kr/product/33686/83/cover200/k422939932_2.jpg
146,나의 히어로 아카데미아 41 (트리플 특장판),호리코시 코헤이 지음,서울미디어코믹스(서울문화사),2024-11-04,6000,B014,https://image.aladin.co.kr/product/35091/18/cover200/k122934496_1.jpg
147,나의 인생만사 답사기,유홍준 지음,창비,2024-11-01,22000,B009,https://image.aladin.co.kr/product/35040/50/cover200/893648060x_2.jpg
148,결국 해내는 사람들의 원칙 (리커버 에디션),"앨런 피즈.바바라 피즈 지음, 이재경 옮김",반니,2020-12-14,18000,B005,https://image.aladin.co.kr/product/25810/88/cover200/k662736333_1.jpg
149,유목민의 투자의 정석,유목민 지음,리더스북,2024-01-17,28000,B004,https://image.aladin.co.kr/product/33195/80/cover200/8901279282_2.jpg
150,긴긴밤,루리 지음,문학동네,2021-02-03,12500,B015,https://image.aladin.co.kr/product/26302/71/cover200/8954677150_1.jpg
151,타이탄의 도구들 (블랙 에디션),"팀 페리스 지음, 박선령.정지현 옮김",토네이도,2022-06-22,18000,B005,https://image.aladin.co.kr/product/29714/21/cover200/k232838895_1.jpg
152,흔한남매 18,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,2024-12-18,15800,B015,https://image.aladin.co.kr/product/35371/5/cover200/k792035405_1.jpg
153,세상의 마지막 기차역 (리커버 에디션),"무라세 다케시 지음, 김지연 옮김",모모,2022-05-11,14000,B001,https://image.aladin.co.kr/product/31196/62/cover200/k272831051_1.jpg
154,사랑을 무게로 안 느끼게,박완서 지음,세계사,2024-01-23,18000,B009,https://image.aladin.co.kr/product/33209/36/cover200/8933872353_1.jpg
155,달리기를 말할 때 내가 하고 싶은 이야기,"무라카미 하루키 지음, 임홍빈 옮김",문학사상,2009-01-05,14500,B009,https://image.aladin.co.kr/product/302/5/cover200/8970128336_3.jpg
156,질병 해방,"피터 아티아.빌 기퍼드 지음, 이한음 옮김",부키,2024-04-30,28000,B010,https://image.aladin.co.kr/product/33821/13/cover200/k782930794_1.jpg
157,철학은 날씨를 바꾼다,서동욱 지음,김영사,2024-01-12,18800,B010,https://image.aladin.co.kr/product/33148/4/cover200/8934971355_1.jpg
158,원피스 109,오다 에이치로 지음,대원씨아이(만화),2024-10-30,6000,B014,https://image.aladin.co.kr/product/35005/47/cover200/k712934889_1.jpg
159,일본어 문법 무작정 따라하기,후지이 아사리 지음,길벗이지톡,2023-02-14,26000,B002,https://image.aladin.co.kr/product/30963/87/cover200/k212831201_1.jpg
